iter	RMSE
0	7.30680105
1	6.628286182
2	6.022881807
3	5.483757841
4	5.00465266
5	4.579988216
6	4.204654201
7	3.874066683
8	3.584014832
9	3.330486855
10	3.110112436
11	2.91942842
12	2.753565184
13	2.612982954
14	2.493045586
15	2.391721874
16	2.306371653
17	2.234838191
18	2.175143803
19	2.119974484
20	2.075902174
21	2.037355224
22	2.007556233
23	1.9831654
24	1.964121782
25	1.948739788
26	1.93457227
27	1.923343803
28	1.914567966
29	1.907501078
30	1.900794072
31	1.893947083
32	1.888802377
33	1.885439831
34	1.881364608
35	1.87907742
36	1.875929036
37	1.874212784
38	1.872406412
39	1.871076828
40	1.869343087
41	1.868495912
42	1.867773937
43	1.866730993
44	1.865948482
45	1.86539944
46	1.864750581
47	1.864405755
48	1.864052064
49	1.863840474
